Location,Cuisines,Average_Cost_for_Two,Rating,Votes,Reviews,Delivery_Time
"Sector 14, Noida",North Indian,100.0,3.0,63.0,26.0,30.0
"FTI College, Law College Road, Pune","Fast Food, Biryani",200.0,3.0,11.0,7.0,30.0
Majestic,"Pizza, Fast Food, Desserts",250.0,3.0,209.0,89.0,45.0
"Sector 3, Marathalli","Tamil, Biryani, South Indian, Chettinad, North Indian, Chinese",250.0,3.0,163.0,112.0,30.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Mughlai, Chinese, Rolls, Biryani",200.0,4.0,244.0,167.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Biryani, Andhra, Chinese",250.0,3.0,37.0,17.0,45.0
"Sector 3, Marathalli","North Indian, Mughlai",150.0,2.0,11.0,5.0,30.0
"Sector 14, Noida","Asian, Thai, Japanese, Chinese, Momos",600.0,4.0,1473.0,849.0,65.0
"Dockyard Road, Mumbai CST Area","Chinese, North Indian, South Indian, Fast Food",200.0,3.0,139.0,47.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore",South Indian,50.0,3.0,22.0,8.0,30.0
"Nathan Road, Mangaldas Road, Pune",Fast Food,100.0,3.0,63.0,26.0,30.0
Delhi University-GTB Nagar,North Indian,100.0,3.0,63.0,26.0,30.0
"Sandhurst Road, Mumbai CST Area",Chinese,100.0,3.0,63.0,26.0,30.0
Majestic,"North Indian, South Indian, Chinese, Beverages",350.0,4.0,421.0,73.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Maharashtrian, Seafood",300.0,3.0,46.0,25.0,30.0
"Dockyard Road, Mumbai CST Area","Healthy Food, Sandwich, Juices, Beverages",200.0,3.0,57.0,41.0,30.0
"FTI College, Law College Road, Pune","Bakery, Fast Food",150.0,3.0,90.0,58.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Fast Food, Beverages",100.0,3.0,63.0,26.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","North Indian, Chinese",100.0,3.0,27.0,9.0,30.0
"Rmz Centennial, I Gate, Whitefield","Sushi, Asian",800.0,4.0,537.0,319.0,30.0
"MG Road, Pune","North Indian, Chinese",150.0,2.0,96.0,41.0,45.0
"Sector 63A,Gurgaon",Healthy Food,100.0,3.0,15.0,10.0,30.0
Majestic,"South Indian, North Indian",100.0,3.0,12.0,1.0,30.0
Delhi University-GTB Nagar,North Indian,200.0,2.0,160.0,52.0,45.0
"Nathan Road, Mangaldas Road, Pune","Pizza, Fast Food",200.0,3.0,205.0,47.0,30.0
"FTI College, Law College Road, Pune","Bakery, Desserts",150.0,4.0,323.0,145.0,45.0
"Sector 14, Noida",North Indian,150.0,3.0,63.0,26.0,30.0
"Delhi Administration Flats, Timarpur","North Indian, Street Food",200.0,3.0,6.0,1.0,30.0
"Tejas Nagar Colony, Wadala West, Mumbai",Maharashtrian,100.0,3.0,63.0,26.0,30.0
Delhi Cantt.,"Street Food, Maharashtrian",100.0,3.0,63.0,26.0,30.0
"Sector 1, Noida","North Indian, Mughlai, Kebab",900.0,4.0,3519.0,1971.0,65.0
"Yerawada, Pune, Maharashtra","North Indian, Chinese",150.0,3.0,63.0,26.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Beverages, Juices",100.0,3.0,8.0,3.0,30.0
Delhi University-GTB Nagar,"North Indian, Chinese",150.0,2.0,151.0,50.0,30.0
"Sandhurst Road, Mumbai CST Area",Chinese,250.0,3.0,318.0,133.0,30.0
"Rmz Centennial, I Gate, Whitefield",Biryani,150.0,3.0,63.0,26.0,30.0
"Tiretti, Kolkata",Mishti,50.0,4.0,1512.0,579.0,45.0
"Dockyard Road, Mumbai CST Area","North Indian, Mughlai, Chinese",200.0,3.0,277.0,143.0,45.0
"Delhi High Court, India Gate","American, Continental, Burger, Italian, Pizza, Beverages",300.0,4.0,430.0,201.0,45.0
"Sector 1, Noida","North Indian, Kebab",150.0,3.0,63.0,26.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Biryani, North Indian, Chinese",200.0,3.0,52.0,16.0,30.0
"Sector 1, Noida","Bakery, Desserts",100.0,3.0,22.0,8.0,30.0
Mumbai Central,"Chinese, Fast Food",150.0,3.0,6.0,5.0,30.0
"Raja Bazar, Kolkata","Biryani, North Indian, Rolls",250.0,2.0,50.0,14.0,65.0
Pune University,Chinese,150.0,3.0,7.0,1.0,45.0
"Sector 1, Noida","Chinese, North Indian",200.0,3.0,18.0,10.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Pizza, Italian",300.0,4.0,338.0,152.0,30.0
"Rmz Centennial, I Gate, Whitefield","North Indian, Street Food",100.0,3.0,8.0,5.0,30.0
"Tiretti, Kolkata",South Indian,150.0,3.0,20.0,10.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Beverages, Fast Food",200.0,4.0,58.0,32.0,30.0
"Sector 1, Noida","Chinese, Momos, Rolls",200.0,4.0,71.0,56.0,30.0
"Rmz Centennial, I Gate, Whitefield","North Indian, Thai, Italian, Chinese, Bar Food, Fast Food, Beverages",450.0,4.0,1391.0,819.0,45.0
"Sandhurst Road, Mumbai CST Area","North Indian, Chinese, Mughlai, Maharashtrian",250.0,3.0,74.0,36.0,30.0
Delhi University-GTB Nagar,South Indian,200.0,3.0,52.0,47.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore",Cafe,150.0,3.0,27.0,9.0,30.0
"Sector 63A,Gurgaon","North Indian, Chinese",200.0,3.0,4.0,1.0,30.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Chinese",250.0,3.0,45.0,19.0,30.0
"Sector 1, Noida",Bakery,100.0,4.0,355.0,260.0,30.0
"Chandni Chowk, Kolkata","Biryani, North Indian, Rolls",250.0,2.0,50.0,14.0,65.0
"D-Block, Sector 63, Noida",Bengali,200.0,3.0,16.0,6.0,30.0
"FTI College, Law College Road, Pune","Healthy Food, Salad, North Indian, Continental, Beverages",200.0,3.0,9.0,3.0,30.0
"Sector 63A,Gurgaon","Cafe, Italian, Desserts",400.0,3.0,55.0,24.0,30.0
"Nathan Road, Mangaldas Road, Pune",Street Food,100.0,3.0,63.0,26.0,30.0
"Sandhurst Road, Mumbai CST Area",Fast Food,200.0,3.0,127.0,46.0,45.0
"Hyderabad Public School, Begumpet",Ice Cream,150.0,3.0,24.0,7.0,30.0
"Rmz Centennial, I Gate, Whitefield",South Indian,100.0,3.0,43.0,15.0,30.0
"Sector 14, Noida","North Indian, Mughlai, Momos",450.0,4.0,2133.0,1005.0,45.0
"Noorkhan Bazaar, Malakpet, Hyderabad",Fast Food,200.0,3.0,8.0,3.0,30.0
"Sector 14, Noida","Biryani, North Indian, Andhra",400.0,3.0,1328.0,805.0,65.0
"MG Road, Pune","Beverages, Fast Food",150.0,3.0,5.0,3.0,30.0
"Chandni Chowk, Kolkata","Mishti, Street Food, South Indian",100.0,3.0,77.0,35.0,30.0
Delhi Cantt.,South Indian,200.0,3.0,63.0,26.0,30.0
Delhi University-GTB Nagar,"Fast Food, Beverages",200.0,3.0,9.0,4.0,30.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Chinese, Mughlai",250.0,4.0,4018.0,2922.0,45.0
"Sector 1, Noida","Mughlai, North Indian, Rolls",250.0,3.0,36.0,23.0,30.0
Mumbai Central,"Cafe, Desserts, Beverages",200.0,3.0,80.0,59.0,45.0
"Yerawada, Pune, Maharashtra","Finger Food, Brazilian, BBQ",750.0,4.0,108.0,67.0,45.0
"Sector 3, Marathalli",North Indian,150.0,3.0,63.0,26.0,30.0
"Sector 14, Noida","North Indian, Chinese",400.0,4.0,974.0,705.0,45.0
"FTI College, Law College Road, Pune",Fast Food,150.0,3.0,16.0,5.0,30.0
"Chandni Chowk, Kolkata","Pizza, North Indian, Street Food",150.0,3.0,55.0,8.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore",Chinese,200.0,3.0,5.0,1.0,30.0
"Sandhurst Road, Mumbai CST Area",Desserts,100.0,3.0,73.0,46.0,30.0
"FTI College, Law College Road, Pune",North Indian,100.0,3.0,26.0,10.0,30.0
"Delhi Administration Flats, Timarpur","Tibetan, Chinese, Italian",250.0,4.0,886.0,563.0,45.0
Delhi University-GTB Nagar,"Chinese, Biryani",150.0,3.0,63.0,26.0,30.0
Delhi Cantt.,"Chinese, North Indian, Italian, Fast Food, Beverages",250.0,3.0,73.0,34.0,30.0
Mumbai Central,"Lebanese, Mediterranean",400.0,4.0,90.0,56.0,30.0
"FTI College, Law College Road, Pune",North Indian,150.0,3.0,63.0,26.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Beverages, Desserts, Ice Cream",200.0,4.0,289.0,181.0,30.0
"Sandhurst Road, Mumbai CST Area",Desserts,150.0,3.0,86.0,30.0,30.0
"Sector 3, Marathalli","Street Food, Beverages",200.0,3.0,63.0,26.0,30.0
"Sector 63A,Gurgaon",South Indian,250.0,4.0,1093.0,471.0,30.0
"Noorkhan Bazaar, Malakpet, Hyderabad","North Indian, Chinese, South Indian",250.0,4.0,112.0,33.0,30.0
"Sector 14, Noida",Biryani,150.0,3.0,63.0,26.0,30.0
"Nathan Road, Mangaldas Road, Pune","North Indian, South Indian, Chinese",200.0,3.0,14.0,7.0,30.0
Pune University,Bakery,100.0,3.0,89.0,40.0,65.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Bakery, Desserts",150.0,4.0,63.0,26.0,30.0
"D-Block, Sector 63, Noida","North Indian, Chinese",200.0,3.0,153.0,22.0,45.0
Delhi University-GTB Nagar,Chinese,250.0,3.0,19.0,15.0,30.0
"FTI College, Law College Road, Pune","Salad, Continental, Fast Food, Italian, Pizza",300.0,4.0,423.0,245.0,45.0
"MG Road, Pune",North Indian,200.0,3.0,35.0,8.0,45.0
"Rmz Centennial, I Gate, Whitefield",South Indian,100.0,3.0,7.0,5.0,30.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Chinese, North Indian",200.0,3.0,34.0,10.0,65.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Ice Cream, Desserts",100.0,4.0,158.0,104.0,45.0
"D-Block, Sector 63, Noida","North Indian, Chinese",200.0,3.0,45.0,37.0,30.0
"Gora Bazar, Rajbari, North Dumdum, Kolkata",North Indian,150.0,3.0,18.0,7.0,30.0
Pune University,Bakery,100.0,3.0,38.0,16.0,30.0
"D-Block, Sector 63, Noida","North Indian, Chinese",200.0,3.0,321.0,62.0,45.0
"MG Road, Pune",Healthy Food,200.0,3.0,36.0,21.0,45.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Biryani, Chinese",150.0,3.0,64.0,35.0,30.0
"Delhi Administration Flats, Timarpur","Beverages, Juices",100.0,3.0,63.0,26.0,30.0
Mumbai Central,Fast Food,150.0,3.0,39.0,19.0,45.0
"Sector 1, Noida","Bakery, Desserts",150.0,3.0,67.0,20.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Arabian, Mediterranean, North Indian",200.0,2.0,34.0,25.0,30.0
"FTI College, Law College Road, Pune","Chinese, Beverages",150.0,3.0,8.0,26.0,30.0
"Sandhurst Road, Mumbai CST Area","North Indian, Chinese, Fast Food",200.0,3.0,113.0,23.0,30.0
"Sector 1, Noida","Pizza, Italian, Beverages, American, Fast Food, Desserts",350.0,3.0,63.0,26.0,30.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Fast Food,150.0,3.0,9.0,3.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Healthy Food, Beverages, Fast Food",200.0,3.0,234.0,124.0,45.0
"Nathan Road, Mangaldas Road, Pune","Pizza, Italian",250.0,4.0,29.0,20.0,30.0
"Rmz Centennial, I Gate, Whitefield","North Indian, Bengali, Chinese, Odia",200.0,2.0,19.0,11.0,30.0
"Sector 3, Marathalli","Continental, Andhra, North Indian, Pizza, Chinese, Desserts, Beverages",400.0,4.0,433.0,328.0,30.0
"D-Block, Sector 63, Noida","Fast Food, Sandwich, Beverages",150.0,3.0,607.0,260.0,65.0
"Nathan Road, Mangaldas Road, Pune","Salad, European, Steak, Healthy Food, Beverages, Finger Food",550.0,4.0,1319.0,659.0,45.0
"FTI College, Law College Road, Pune","North Indian, Chinese, Maharashtrian, Continental",400.0,3.0,12.0,4.0,45.0
"Noorkhan Bazaar, Malakpet, Hyderabad","South Indian, North Indian, Chinese",350.0,3.0,18.0,4.0,30.0
"Sector 63A,Gurgaon","North Indian, Rolls, Momos",250.0,3.0,63.0,26.0,30.0
Mumbai Central,"Fast Food, Burger, American, Wraps",150.0,3.0,50.0,14.0,45.0
"Tejas Nagar Colony, Wadala West, Mumbai","Cafe, Desserts, Fast Food, Beverages",200.0,4.0,102.0,76.0,30.0
"Delhi Administration Flats, Timarpur","Beverages, Ice Cream",100.0,3.0,13.0,3.0,30.0
"Delhi Administration Flats, Timarpur","Mithai, Street Food",100.0,3.0,10.0,2.0,30.0
"Yerawada, Pune, Maharashtra",Street Food,100.0,3.0,63.0,26.0,30.0
Mumbai Central,Fast Food,150.0,3.0,34.0,11.0,30.0
Delhi Cantt.,"Fast Food, North Indian",200.0,3.0,43.0,23.0,45.0
Delhi Cantt.,"Chinese, Fast Food",100.0,3.0,63.0,26.0,30.0
"Dockyard Road, Mumbai CST Area","South Indian, Beverages",250.0,3.0,14.0,13.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Fast Food, Desserts",150.0,3.0,12.0,7.0,30.0
"Delhi High Court, India Gate",Desserts,100.0,4.0,25.0,23.0,30.0
"D-Block, Sector 63, Noida","Fast Food, North Indian, Beverages",150.0,3.0,66.0,40.0,30.0
"Chatta Bazaar, Malakpet, Hyderabad","North Indian, Chinese, Biryani",250.0,3.0,327.0,59.0,30.0
"Babarpur, New Delhi, Delhi","North Indian, South Indian",100.0,3.0,63.0,26.0,30.0
"FTI College, Law College Road, Pune",Maharashtrian,100.0,3.0,63.0,26.0,30.0
"Delhi High Court, India Gate",North Indian,400.0,4.0,287.0,198.0,65.0
"Rmz Centennial, I Gate, Whitefield",North Indian,200.0,3.0,102.0,41.0,30.0
Mumbai Central,"Chinese, Mughlai, North Indian",200.0,3.0,63.0,34.0,30.0
Mumbai Central,"European, Italian, American, Salad",1000.0,4.0,2139.0,1131.0,45.0
"D-Block, Sector 63, Noida","Italian, Chinese, Continental, American, Pizza",300.0,4.0,1949.0,1165.0,45.0
Majestic,"Andhra, Mughlai, Chinese, North Indian",350.0,3.0,63.0,26.0,30.0
"Rmz Centennial, I Gate, Whitefield","Biryani, Chinese, North Indian",150.0,3.0,93.0,13.0,65.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","North Indian, Chinese",250.0,3.0,13.0,7.0,45.0
"Nathan Road, Mangaldas Road, Pune","Fast Food, South Indian",150.0,3.0,63.0,26.0,30.0
Majestic,Street Food,50.0,3.0,6.0,4.0,30.0
"Sandhurst Road, Mumbai CST Area","American, Italian",350.0,3.0,63.0,26.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore",Pizza,200.0,3.0,87.0,37.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Cafe, Continental, Mexican",350.0,4.0,342.0,180.0,30.0
"Delhi High Court, India Gate","Continental, North Indian, Italian, Asian",2050.0,3.0,671.0,357.0,30.0
"Sandhurst Road, Mumbai CST Area","Bakery, Fast Food",250.0,3.0,100.0,41.0,30.0
"Rmz Centennial, I Gate, Whitefield","South Indian, Chinese, Mangalorean",150.0,3.0,63.0,26.0,30.0
"D-Block, Sector 63, Noida","North Indian, Rolls",200.0,4.0,82.0,53.0,30.0
"Nathan Road, Mangaldas Road, Pune",Bakery,200.0,3.0,63.0,26.0,30.0
Majestic,"North Indian, Fast Food",150.0,3.0,4.0,1.0,30.0
"Sector 3, Marathalli","Hyderabadi, Andhra, North Indian, Chinese, South Indian",350.0,4.0,867.0,407.0,45.0
"Dockyard Road, Mumbai CST Area",Sandwich,100.0,3.0,44.0,4.0,45.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Chinese, Fast Food",200.0,3.0,28.0,26.0,30.0
"Sector 1, Noida","Bakery, Desserts, Fast Food",100.0,3.0,63.0,26.0,30.0
"FTI College, Law College Road, Pune","North Indian, South Indian, Continental",200.0,3.0,136.0,54.0,45.0
"D-Block, Sector 63, Noida",North Indian,200.0,3.0,63.0,26.0,30.0
"Chandni Chowk, Kolkata","Chinese, North Indian",100.0,3.0,85.0,27.0,30.0
"Delhi High Court, India Gate","Burger, Fast Food",200.0,3.0,41.0,10.0,30.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Fast Food, Chinese",200.0,3.0,60.0,25.0,30.0
"FTI College, Law College Road, Pune","Street Food, South Indian, Ice Cream, Beverages",100.0,3.0,37.0,13.0,30.0
"Nathan Road, Mangaldas Road, Pune","North Indian, Biryani, Lebanese",300.0,3.0,8.0,3.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore",North Indian,100.0,3.0,56.0,13.0,65.0
"D-Block, Sector 63, Noida",North Indian,150.0,3.0,53.0,40.0,30.0
Mumbai Central,"North Indian, South Indian, Continental, Fast Food, Chinese",300.0,3.0,1060.0,528.0,30.0
"Sector 1, Noida","North Indian, Chinese",200.0,3.0,63.0,26.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","North Indian, Street Food",150.0,4.0,220.0,96.0,45.0
"Sandhurst Road, Mumbai CST Area",Fast Food,200.0,3.0,442.0,98.0,45.0
"Delhi Administration Flats, Timarpur","Rolls, Fast Food",150.0,4.0,318.0,181.0,30.0
Pune University,"Fast Food, Beverages",200.0,3.0,63.0,26.0,30.0
"Sector 14, Noida","North Indian, Mughlai",200.0,4.0,564.0,223.0,30.0
Pune University,"Italian, Cafe, Salad",400.0,4.0,776.0,463.0,45.0
"Moulali, Kolkata",Mishti,150.0,3.0,63.0,26.0,30.0
"Musi Nagar, Malakpet, Hyderabad","South Indian, Street Food",100.0,3.0,37.0,5.0,30.0
"Tiretti, Kolkata","North Indian, Chinese",200.0,3.0,133.0,99.0,30.0
"D-Block, Sector 63, Noida",Fast Food,300.0,3.0,53.0,37.0,45.0
"MG Road, Pune","North Indian, Chinese, Maharashtrian",250.0,3.0,183.0,18.0,45.0
"FTI College, Law College Road, Pune",North Indian,100.0,3.0,70.0,37.0,30.0
Delhi Cantt.,Mughlai,150.0,2.0,7.0,3.0,30.0
"Delhi High Court, India Gate","Bakery, Desserts",150.0,3.0,4.0,2.0,30.0
"Sector 1, Noida",Fast Food,200.0,3.0,44.0,11.0,30.0
"Sector 3, Marathalli","North Indian, Mughlai",150.0,2.0,63.0,26.0,30.0
"FTI College, Law College Road, Pune","North Indian, South Indian, Chinese",250.0,3.0,63.0,26.0,30.0
"Babarpur, New Delhi, Delhi",Kebab,150.0,3.0,63.0,26.0,30.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, South Indian, Fast Food",200.0,3.0,96.0,21.0,65.0
"Rmz Centennial, I Gate, Whitefield","Chinese, Thai",250.0,4.0,631.0,306.0,65.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Healthy Food, Chinese, North Indian, Asian, Continental, Fast Food",350.0,3.0,81.0,39.0,30.0
"Sector 14, Noida",North Indian,300.0,3.0,63.0,26.0,65.0
"Sector 1, Noida",North Indian,200.0,3.0,6.0,2.0,30.0
"Sector 1, Noida","North Indian, Chinese",200.0,3.0,26.0,10.0,45.0
"Panjetan Colony, Malakpet, Hyderabad",South Indian,150.0,3.0,385.0,20.0,45.0
Delhi University-GTB Nagar,"Bakery, Fast Food, Desserts",200.0,3.0,287.0,112.0,45.0
"Sector 1, Noida","Pizza, Italian, Continental, Fast Food",250.0,3.0,140.0,89.0,45.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Fast Food",200.0,3.0,63.0,26.0,30.0
"Noorkhan Bazaar, Malakpet, Hyderabad",South Indian,100.0,3.0,18.0,1.0,30.0
"Sandhurst Road, Mumbai CST Area","Chinese, Fast Food",200.0,3.0,24.0,2.0,45.0
"FTI College, Law College Road, Pune",Fast Food,150.0,3.0,9.0,26.0,30.0
"Sector 14, Noida","North Indian, Chinese, Fast Food",200.0,3.0,62.0,29.0,30.0
"Dockyard Road, Mumbai CST Area","Chinese, Fast Food, Ice Cream, Beverages",250.0,3.0,212.0,101.0,30.0
"D-Block, Sector 63, Noida","Chinese, South Indian, Fast Food, North Indian",200.0,3.0,63.0,26.0,30.0
"Sector 1, Noida","Mithai, Fast Food",100.0,3.0,60.0,9.0,45.0
"Sector 1, Noida","Cafe, North Indian",200.0,4.0,130.0,90.0,30.0
Delhi University-GTB Nagar,North Indian,150.0,3.0,344.0,20.0,45.0
"Yerawada, Pune, Maharashtra","North Indian, Chinese, Fast Food",200.0,3.0,63.0,26.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Biryani, South Indian, North Indian",150.0,3.0,5.0,1.0,30.0
"Moulali, Kolkata","Continental, Italian, Thai",350.0,3.0,36.0,13.0,45.0
"Tejas Nagar Colony, Wadala West, Mumbai","Chinese, North Indian",200.0,3.0,63.0,26.0,30.0
"Delhi Administration Flats, Timarpur","Mughlai, North Indian, Chinese",250.0,3.0,31.0,14.0,30.0
Delhi University-GTB Nagar,"North Indian, Chinese, Rolls",200.0,3.0,63.0,26.0,30.0
"Sector 14, Noida","Chinese, Fast Food",200.0,2.0,267.0,46.0,45.0
"Sector 63A,Gurgaon",South Indian,100.0,3.0,63.0,26.0,30.0
"FTI College, Law College Road, Pune",Fast Food,100.0,3.0,19.0,10.0,30.0
Delhi University-GTB Nagar,Fast Food,150.0,3.0,15.0,8.0,30.0
Mumbai Central,"Fast Food, Desserts, Beverages",150.0,3.0,63.0,26.0,45.0
"Sector 3, Marathalli",Chinese,300.0,2.0,393.0,191.0,65.0
"Sector 14, Noida","North Indian, Mughlai, Kebab, Chinese, Biryani",350.0,4.0,109.0,81.0,30.0
"Sector 63A,Gurgaon",North Indian,250.0,3.0,59.0,4.0,30.0
"Sector 63A,Gurgaon","Healthy Food, Sandwich, Beverages, Desserts",200.0,4.0,98.0,74.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Beverages, Healthy Food",100.0,3.0,28.0,6.0,30.0
"MG Road, Pune",Fast Food,200.0,3.0,103.0,48.0,30.0
"Yerawada, Pune, Maharashtra","Chinese, North Indian",200.0,3.0,19.0,3.0,30.0
Majestic,South Indian,100.0,3.0,35.0,4.0,30.0
"Delhi Administration Flats, Timarpur","Asian, Japanese, Chinese, Thai, Malaysian, Sushi, Vietnamese",550.0,4.0,150.0,75.0,30.0
"BTM Layout 1, Electronic City","Mithai, North Indian, Street Food",100.0,3.0,62.0,21.0,30.0
"FTI College, Law College Road, Pune","Fast Food, North Indian, Beverages",200.0,4.0,421.0,165.0,45.0
"Delhi Administration Flats, Timarpur","Pizza, Continental, Fast Food",200.0,3.0,22.0,10.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Biryani, North Indian",200.0,3.0,208.0,124.0,30.0
"Nathan Road, Mangaldas Road, Pune","Continental, North Indian, Mughlai, Italian, Asian",700.0,4.0,3727.0,1818.0,45.0
"Rmz Centennial, I Gate, Whitefield","North Indian, South Indian, Chinese, Biryani",150.0,3.0,28.0,12.0,30.0
Majestic,"South Indian, North Indian, Chinese",200.0,3.0,23.0,10.0,30.0
"Sector 1, Noida","North Indian, Chinese, Mughlai",250.0,3.0,200.0,74.0,65.0
"Sector 1, Noida","Fast Food, Italian, Beverages",150.0,3.0,167.0,89.0,65.0
"Sector 14, Noida","North Indian, South Indian",150.0,3.0,80.0,31.0,45.0
"Sector 1, Noida",Pizza,150.0,3.0,63.0,26.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Fast Food, Chinese, Mughlai, Rolls",200.0,3.0,208.0,86.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Desserts, Beverages",200.0,4.0,59.0,36.0,30.0
"Sector 1, Noida","Mithai, North Indian, South Indian, Street Food, Chinese",150.0,3.0,206.0,55.0,45.0
"Sector 14, Noida","Cafe, Italian",250.0,3.0,27.0,18.0,30.0
Mumbai Central,"North Indian, South Indian, Chinese, Fast Food",350.0,3.0,19.0,5.0,45.0
"Sandhurst Road, Mumbai CST Area","Fast Food, Burger, Beverages",200.0,2.0,41.0,16.0,45.0
"Delhi High Court, India Gate",North Indian,150.0,3.0,63.0,26.0,65.0
"Noorkhan Bazaar, Malakpet, Hyderabad","Mithai, Bakery, Fast Food",150.0,3.0,56.0,9.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","South Indian, North Indian, Chinese",200.0,3.0,551.0,53.0,45.0
Delhi University-GTB Nagar,Mughlai,150.0,3.0,52.0,8.0,30.0
"Sector 1, Noida","North Indian, Chinese",250.0,3.0,16.0,6.0,30.0
"D-Block, Sector 63, Noida","North Indian, Mughlai, Chinese",200.0,3.0,63.0,26.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Cafe, Fast Food, Chinese",250.0,4.0,114.0,71.0,30.0
"Raja Bazar, Kolkata","North Indian, Chinese, Bengali",150.0,2.0,9.0,7.0,30.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Biryani,150.0,3.0,64.0,15.0,30.0
"Delhi Administration Flats, Timarpur","Cafe, Fast Food",200.0,3.0,63.0,26.0,30.0
Delhi University-GTB Nagar,"Chinese, Burger, Hot dogs",100.0,3.0,8.0,2.0,30.0
"Chandni Chowk, Kolkata","South Indian, Beverages",150.0,3.0,108.0,80.0,30.0
Delhi Cantt.,"Bakery, Fast Food",100.0,3.0,42.0,16.0,30.0
"Hyderabad Public School, Begumpet","North Indian, Fast Food, Beverages",150.0,3.0,11.0,2.0,45.0
"Delhi Administration Flats, Timarpur",North Indian,250.0,3.0,89.0,54.0,30.0
"FTI College, Law College Road, Pune","Biryani, Kebab",200.0,3.0,6.0,26.0,30.0
"Delhi High Court, India Gate",North Indian,100.0,3.0,20.0,11.0,30.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Ice Cream, Beverages, Fast Food",250.0,3.0,63.0,26.0,30.0
Delhi University-GTB Nagar,"Bakery, Desserts",150.0,4.0,173.0,104.0,45.0
"Sandhurst Road, Mumbai CST Area","North Indian, Mughlai, Chinese",600.0,4.0,762.0,393.0,30.0
"Delhi High Court, India Gate",North Indian,150.0,3.0,89.0,20.0,65.0
"Delhi Administration Flats, Timarpur","Cafe, Chinese, Fast Food",200.0,3.0,83.0,66.0,30.0
"Sector 3, Marathalli","North Indian, South Indian, Kerala",150.0,3.0,5.0,2.0,30.0
Delhi University-GTB Nagar,"Pizza, Fast Food",200.0,3.0,104.0,45.0,30.0
"Sandhurst Road, Mumbai CST Area",Juices,100.0,3.0,5.0,2.0,30.0
"Rmz Centennial, I Gate, Whitefield","Desserts, Ice Cream, Bakery, Fast Food",150.0,4.0,120.0,38.0,30.0
"Rmz Centennial, I Gate, Whitefield","Beverages, Juices, Fast Food, Desserts",150.0,3.0,63.0,26.0,45.0
Delhi University-GTB Nagar,"Fast Food, Rolls",100.0,3.0,82.0,22.0,45.0
"Chandni Chowk, Kolkata","Chinese, Bengali, Bangladeshi, Rolls",100.0,3.0,16.0,4.0,30.0
"MG Road, Pune","Chinese, North Indian, South Indian",250.0,3.0,27.0,11.0,65.0
"D-Block, Sector 63, Noida","Chinese, North Indian",150.0,3.0,63.0,26.0,30.0
"Sector 1, Noida","Chinese, Asian, Sushi",300.0,3.0,242.0,193.0,65.0
"Sector 3, Marathalli","Desserts, Fast Food",150.0,3.0,20.0,6.0,30.0
